точка;культура;вес;тара ;%
543;горох;215;146;80
542;горох;190;104;40
541;горох;193;146;40
540;горох;160;124;60
539;горох;235;143;70
40;€чмень;218;140;90
41;€чмень;240;140;90
42;€чмень;255;140;80
43;€чмень;181;130;60
44;€чмень;187;144;80
485;озима€;225;110;100
484;озима€;206;126;90
482;озима€;187;124;80
481;озима€;204;122;80
480;озима€;246;145;90
