NDV_values,CRC_values,date,type
0.22338204,0.0,2019-02-19,529
0.2149442,0.0,2019-02-19,529
0.22790697,0.0,2019-02-19,585
0.19786096,0.0,2019-02-19,585
0.183694,0.0,2019-02-19,585
0.21062993,0.0,2019-02-19,585
0.20530504,0.0,2019-02-19,585
0.20750782,0.0,2019-02-19,585
0.20039293,0.0,2019-02-19,585
0.21529597,0.0,2019-02-19,585
0.21635094,0.0,2019-02-19,585
0.19551934,0.0,2019-02-19,585
0.22983257,10.167806,2019-02-19,586
0.23102175,19.324543,2019-02-19,586
0.2197092,13.56554,2019-02-19,586
0.38181818,0.0,2019-02-19,586
0.23038605,14.423297,2019-02-19,586
0.23002422,16.905676,2019-02-19,586
0.20675105,14.423297,2019-02-19,586
0.23383084,20.90027,2019-02-19,586
0.23291035,23.018023,2019-02-19,586
0.22636104,15.306625,2019-02-19,586
0.2111437,64.01072,2019-02-19,587
0.2730528,60.59716,2019-02-19,587
0.19092904,69.15144,2019-02-19,587
0.20718026,69.46301,2019-02-19,587
0.22407542,70.77686,2019-02-19,587
0.2125182,66.65353,2019-02-19,587
0.2159091,70.77686,2019-02-19,587
0.19568567,72.21685,2019-02-19,587
0.22014388,69.309105,2019-02-19,587
0.20808384,70.033394,2019-02-19,587
0.20582448,65.40816,2019-02-19,588
0.22349103,68.44573,2019-02-19,588
0.20119224,71.60795,2019-02-19,588
0.20603015,70.22695,2019-02-19,588
0.21105142,72.24504,2019-02-19,588
0.20812182,66.500755,2019-02-19,588
0.20446096,71.06203,2019-02-19,588
0.21331689,71.32033,2019-02-19,588
0.21897233,69.79989,2019-02-19,588
0.21252796,72.41371,2019-02-19,588
0.23654568,22.001646,2019-03-21,525
0.24812968,19.804926,2019-03-21,525
0.23762982,19.960772,2019-03-21,525
0.25111252,23.312899,2019-03-21,525
0.2533165,21.095678,2019-03-21,525
0.25214198,21.918583,2019-03-21,525
0.26388022,28.511612,2019-03-21,525
0.29419112,34.300606,2019-03-21,525
0.26348418,28.814629,2019-03-21,525
0.24447252,20.509748,2019-03-21,525
0.23481528,19.752874,2019-03-21,526
0.2647249,26.533936,2019-03-21,526
0.2657068,24.82558,2019-03-21,526
0.27308193,25.552862,2019-03-21,526
0.24720497,21.723215,2019-03-21,526
0.25157234,22.439104,2019-03-21,526
0.24528302,19.448324,2019-03-21,526
0.23425692,16.458471,2019-03-21,526
0.24501608,18.597645,2019-03-21,526
0.24164525,20.207214,2019-03-21,526
0.24376899,25.01904,2019-03-21,527
0.24562462,24.545092,2019-03-21,527
0.2741021,31.822891,2019-03-21,527
0.2554054,25.87876,2019-03-21,527
0.23809524,21.033052,2019-03-21,527
0.24142234,23.17009,2019-03-21,527
0.2751499,27.252434,2019-03-21,527
0.2647815,24.791576,2019-03-21,527
0.2375622,25.631218,2019-03-21,527
0.22082585,21.054514,2019-03-21,527
0.29840255,28.146456,2019-03-21,528
0.29657796,29.520712,2019-03-21,528
0.30644113,0.0,2019-03-21,528
0.27504787,23.144625,2019-03-21,528
0.28580686,23.548544,2019-03-21,528
0.3441348,0.0,2019-03-21,528
0.29206964,25.218128,2019-03-21,528
0.25700063,21.97479,2019-03-21,528
0.29508197,28.073542,2019-03-21,528
0.31650487,0.0,2019-03-21,528
0.15874295,0.0,2019-03-21,529
0.16179952,0.0,2019-03-21,529
0.15781125,0.0,2019-03-21,529
0.15946583,0.0,2019-03-21,529
0.15899919,0.0,2019-03-21,529
0.18434782,0.0,2019-03-21,529
0.16366483,0.0,2019-03-21,529
0.16149563,0.0,2019-03-21,529
0.15738499,0.0,2019-03-21,529
0.16205534,0.0,2019-03-21,529
0.1717647,0.0,2019-03-21,585
0.16653258,0.0,2019-03-21,585
0.16156106,0.0,2019-03-21,585
0.16290322,0.0,2019-03-21,585
0.17850953,0.0,2019-03-21,585
0.17244259,0.0,2019-03-21,585
0.17215507,0.0,2019-03-21,585
0.16526139,0.0,2019-03-21,585
0.16742456,0.0,2019-03-21,585
0.17378436,0.0,2019-03-21,585
0.27057275,29.26912,2019-03-21,586
0.32489452,0.0,2019-03-21,586
0.24760602,29.237766,2019-03-21,586
0.35988343,0.0,2019-03-21,586
0.27172717,30.08432,2019-03-21,586
0.27846366,27.598515,2019-03-21,586
0.26102674,30.08432,2019-03-21,586
0.30276465,0.0,2019-03-21,586
0.28566268,37.58317,2019-03-21,586
0.2857143,36.91826,2019-03-21,586
0.19551092,63.217297,2019-03-21,587
0.27903682,72.459984,2019-03-21,587
0.20743035,69.96681,2019-03-21,587
0.1955583,71.542694,2019-03-21,587
0.19364691,70.0504,2019-03-21,587
0.20561318,63.330853,2019-03-21,587
0.19262782,70.0504,2019-03-21,587
0.19510625,77.43051,2019-03-21,587
0.19572954,71.6376,2019-03-21,587
0.1908976,68.77879,2019-03-21,587
0.18781094,72.282936,2019-03-21,588
0.2152231,73.010155,2019-03-21,588
0.19211823,74.22789,2019-03-21,588
0.19784817,71.161064,2019-03-21,588
0.2094763,75.079735,2019-03-21,588
0.19412126,68.61541,2019-03-21,588
0.1885296,74.020905,2019-03-21,588
0.1984536,76.218414,2019-03-21,588
