NDV_values,CRC_values,date,type
0.24311712,62.009266,2021-07-08,TT
0.2538093,67.343315,2021-07-08,TT
0.22712494,60.86881,2021-07-08,TT
0.2764627,69.92984,2021-07-08,TT
0.2685143,66.51882,2021-07-08,TT
0.25859758,67.6282,2021-07-08,TT
0.7061894,0.0,2021-07-08,PP2
0.7027945,0.0,2021-07-08,PP2
0.68042326,0.0,2021-07-08,PP2
0.71515614,0.0,2021-07-08,PP2
0.6879077,0.0,2021-07-08,PP2
0.72839504,0.0,2021-07-08,PP2
0.7154111,0.0,2021-07-08,PP2
0.7125097,0.0,2021-07-08,PP2
0.75450236,0.0,2021-07-08,PP2
0.6756325,0.0,2021-07-08,PP2
0.14436619,71.22831,2021-07-13,PP
0.12888889,67.286575,2021-07-13,PP
0.13569938,73.29639,2021-07-13,PP
0.15946205,80.50483,2021-07-13,PP
0.13284922,72.60194,2021-07-13,PP
0.13954525,67.69508,2021-07-13,PP
0.1338786,71.31071,2021-07-13,PP
0.1415013,73.93512,2021-07-13,PP
0.14744526,74.78404,2021-07-13,PP
0.15686275,88.58142,2021-07-13,PP
0.19658887,75.916016,2021-07-13,TT
0.20540777,79.07143,2021-07-13,TT
0.18824531,88.19424,2021-07-13,TT
0.1930131,77.86011,2021-07-13,TT
0.17372134,72.90946,2021-07-13,TT
0.1959201,79.2916,2021-07-13,TT
0.1875,68.37186,2021-07-13,TT
0.20434782,78.238144,2021-07-13,TT
0.21020761,77.639984,2021-07-13,TT
0.20546775,79.07638,2021-07-13,TT
0.47052947,0.0,2021-07-13,PP2
0.45472938,0.0,2021-07-13,PP2
0.4577823,0.0,2021-07-13,PP2
0.49050948,0.0,2021-07-13,PP2
0.46998984,0.0,2021-07-13,PP2
0.49207148,0.0,2021-07-13,PP2
0.4983875,0.0,2021-07-13,PP2
0.45643154,0.0,2021-07-13,PP2
0.52854604,0.0,2021-07-13,PP2
0.44365484,0.0,2021-07-13,PP2
0.15993538,68.46454,2021-07-18,PP
0.14309624,68.15636,2021-07-18,PP
0.14066103,71.45481,2021-07-18,PP
0.15798764,83.207054,2021-07-18,PP
0.14060031,71.922935,2021-07-18,PP
0.13968776,68.35945,2021-07-18,PP
0.1408,66.68942,2021-07-18,PP
0.1511767,77.44831,2021-07-18,PP
0.15426497,75.00264,2021-07-18,PP
0.17380352,89.46678,2021-07-18,PP
0.14197531,0.0,2021-07-18,TT
0.18611003,65.640945,2021-07-18,TT
0.14844227,0.0,2021-07-18,TT
0.14924471,0.0,2021-07-18,TT
0.14756097,0.0,2021-07-18,TT
0.18462698,67.928055,2021-07-18,TT
0.14336918,0.0,2021-07-18,TT
0.19541985,65.6444,2021-07-18,TT
0.14544357,0.0,2021-07-18,TT
0.13744076,0.0,2021-07-18,TT
0.33596447,0.0,2021-07-18,PP2
0.37833595,0.0,2021-07-18,PP2
0.37011972,0.0,2021-07-18,PP2
0.40114167,0.0,2021-07-18,PP2
0.3809281,0.0,2021-07-18,PP2
0.3745492,0.0,2021-07-18,PP2
0.39653414,0.0,2021-07-18,PP2
0.38543898,0.0,2021-07-18,PP2
0.42677164,0.0,2021-07-18,PP2
0.36354056,0.0,2021-07-18,PP2
0.1356497,66.59977,2021-08-07,PP
0.14108674,65.02322,2021-08-07,PP
0.13320999,71.014404,2021-08-07,PP
0.15408163,81.37782,2021-08-07,PP
0.13655172,70.78493,2021-08-07,PP
0.14340712,66.38686,2021-08-07,PP
0.1510319,66.75678,2021-08-07,PP
0.1580446,74.75363,2021-08-07,PP
0.13846155,74.369705,2021-08-07,PP
0.16618636,87.707954,2021-08-07,PP
0.11932162,0.0,2021-08-07,TT
0.10747664,0.0,2021-08-07,TT
0.104118995,1.3347538,2021-08-07,TT
0.11296076,0.96164304,2021-08-07,TT
0.10523151,2.4731898,2021-08-07,TT
0.111986496,1.039391,2021-08-07,TT
0.11469534,0.0,2021-08-07,TT
0.11804767,0.0,2021-08-07,TT
0.119905494,0.9203149,2021-08-07,TT
0.110593714,1.7668551,2021-08-07,TT
0.16333845,49.931828,2021-08-07,PP2
0.18066996,51.079258,2021-08-07,PP2
0.16911365,49.613327,2021-08-07,PP2
0.16586152,49.153564,2021-08-07,PP2
0.16728625,50.00553,2021-08-07,PP2
0.16291827,49.39711,2021-08-07,PP2
0.16712031,52.34984,2021-08-07,PP2
0.17966102,51.44118,2021-08-07,PP2
0.18539326,58.680958,2021-08-07,PP2
0.1607717,45.697052,2021-08-07,PP2
0.14750864,64.65276,2021-08-27,PP
0.13904008,62.917004,2021-08-27,PP
0.14603482,73.81136,2021-08-27,PP
0.16597511,78.12502,2021-08-27,PP
0.13763234,65.86549,2021-08-27,PP
0.155,62.950535,2021-08-27,PP
0.15544794,61.58648,2021-08-27,PP
0.16447048,72.92512,2021-08-27,PP
0.15294118,76.40947,2021-08-27,PP
0.16666667,87.56247,2021-08-27,PP
