Год,GPS №,Тип обработки,Глубина,повторность,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","М.д. содержания  гипса (по Хитрову), %","Массовая доля иона хлорида, ммоль/100 г","Массовая доля иона сульфата, ммоль/100 г","Массовая доля магния (водорастворимая форма), ммоль/100 г почвы","Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы","Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы","Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы","Сумма поглощенных оснований по Каппену, ммоль/100 г","Массовая доля плотного остатка водной вытяжки, %","Карбонат и бикарбонат-ионы, ммоль/100 г","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)","Органический углерод, %"
2021,584,ТТ,10-20,[2],7.34,8.79,8.6,167.567904,0.07,1.7053,1.1880000000000004,0.2601156069364161,0.25,0.1267666666666666,0.3395225,0.0001230155,0.0001623374999999,24.6,0.1406666666666467,0.0305,2.794,6.353556,0.9433
2021,584,ТТ,20-30,[2],7.5,8.73,8.0,156.910096,0.07,1.7359,0.9266666666666667,0.2167630057803467,0.1388888888888889,0.1315833333333333,0.3387975,0.0001329745,0.0002244645,24.300000000000004,0.055499999999995,0.03965,2.64,6.003360000000001,1.0159
2021,584,ТТ,0-10,[3],7.43,8.36,19.2,290.277176,0.1,1.5447,0.9266666666666667,0.2601156069364161,0.1388888888888889,0.1111583333333333,0.4267725,0.000114057,0.0004640415,24.55,0.1806666666666482,0.04575,2.244,5.102855999999999,0.9326999999999999
2021,584,ТТ,10-20,[3],7.36,8.9,8.399999999999999,195.73187199999995,0.09,1.696,1.792666666666667,0.3251445086705202,0.1527777777777778,0.1260979166666666,0.341935,0.000148396,0.0002130862499999,24.55,0.1363333333333353,0.0327875,2.255,5.12787,1.081
2021,584,ТТ,20-30,[3],7.45,8.35,10.2,193.829552,0.09,1.658,0.8989696969696971,0.097543352601156,0.7159090909090909,0.1445083333333333,0.463625,0.0002027565,0.00023835825,24.500000000000004,0.2726666666666706,0.028975,2.4199999999999995,5.503079999999999,0.9980000000000001
2021,584,ТТ,0-10,[4],7.38,8.2,25.6,421.2482959999999,0.15,1.5607,0.903878787878788,0.1517341040462427,0.6136363636363636,0.1000666666666666,0.5916875,0.000154376,0.000828477,24.75,0.2250000000000085,0.0305,1.2099999999999995,2.751539999999999,1.2307000000000001
2021,584,ТТ,10-20,[4],7.36,8.39,16.799999999999997,317.511656,0.12,1.2664,1.0372121212121217,0.130057803468208,0.6136363636363636,0.0880249999999999,0.4201375,0.0001296395,0.0003937245,24.500000000000004,0.1818000000000239,0.02745,1.2759999999999998,2.9016239999999995,0.9184000000000001
2021,584,ТТ,20-30,[4],7.24,8.58,9.2,233.978136,0.09,1.1295,1.170545454545455,0.0867052023121387,0.613636363636364,0.0864958333333333,0.3869125,0.0001470045,0.0002297685,24.1,0.2109999999999701,0.0305,1.9799999999999995,4.502519999999999,0.5895
2021,585,ТТ,0-10,[0],7.24,,24.8,387.9215759999999,0.15,1.4779,1.8372121212121213,0.130057803468208,0.613636363636364,0.0951333333333333,0.4686625,0.0002208575,0.000811044,24.900000000000002,0.166499999999985,0.0305,0.9899999999999995,2.25126,1.2079
2021,585,ТТ,10-20,[0],7.23,8.26,17.4,355.052376,0.16,1.4757,0.7705454545454544,0.0867052023121386,0.613636363636364,0.0976083333333333,0.4457374999999999,0.000229379,0.000616941,24.800000000000004,0.2709999999999724,0.0305,0.7699999999999996,1.750979999999999,1.2657
