GPS №,Тип обработки,Год,Глубина,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Органический углерод, %"
525,ПП,2020,0-10,7.34,8.04,12.725779967159276,336.0123200000001,0.18,1.3986,0.77,1.1886
525,ПП,2020,10-20,7.36,8.14,7.307060755336616,285.56472,0.17,1.3004,1.1,1.0004
525,ПП,2020,20-30,7.3,8.14,9.27750410509031,272.99496,0.17,1.2437,0.9239999999999998,0.9917
525,ПП,2020,0-10,7.28,8.22,7.307060755336616,254.2848,0.17,1.2304,0.9019999999999996,0.9844
525,ПП,2020,10-20,7.36,8.17,8.292282430213463,240.53512,0.16,1.4815,0.99,1.2115
525,ПП,2020,20-30,7.16,8.18,10.26272577996716,229.76413599999998,0.16,1.5407,0.33,1.4506999999999999
526,ПП,2020,0-10,7.39,8.44,18.144499178981942,439.67672000000005,0.18,1.4412,0.77,1.2312
526,ПП,2020,10-20,7.33,8.03,13.2183908045977,350.6047999999999,0.17,1.3804,0.8139999999999998,1.1584
526,ПП,2020,20-30,7.32,8.23,10.755336617405579,285.4684,0.16,1.3295,0.77,1.1195
526,ПП,2020,0-10,7.47,8.92,28.489326765188828,395.56216,0.05,1.2562,0.77,1.0462
526,ПП,2020,10-20,7.25,8.16,13.711001642036125,325.53752000000003,0.21,1.9719,0.8360000000000002,1.7439
526,ПП,2020,20-30,7.38,8.11,11.247947454844006,264.88,0.17,1.41,0.88,1.17
526,ПП,2020,0-10,7.26,8.15,12.233169129720853,296.13584,0.15,1.1776,0.8360000000000002,0.9496
526,ПП,2020,10-20,7.46,8.23,10.26272577996716,248.7464,0.16,1.3029,1.0780000000000003,1.0089
526,ПП,2020,20-30,7.23,8.13,14.203612479474547,261.31616,0.13,1.1825,1.0120000000000002,0.9065000000000001
526,ПП,2020,0-10,7.4,8.13,15.681444991789816,357.39536,0.18,1.8047,0.8140000000000006,1.5826999999999998
