Год	GPS №	Тип обработки	Глубина	повторность	рН солевой вытяжки, ед. рН	рН водной вытяжки, ед. рН	Фосфор (подвижная форма), мг/кг	Калий (подвижная форма), млн-1	Общий азот, %	Общий углерод, %	М.д. содержания  гипса (по Хитрову), %	Массовая доля иона хлорида, ммоль/100 г	Массовая доля иона сульфата, ммоль/100 г	Массовая доля магния (водорастворимая форма), ммоль/100 г почвы	Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы	Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы	Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы	Сумма поглощенных оснований по Каппену, ммоль/100 г	Массовая доля плотного остатка водной вытяжки, %	Карбонат и бикарбонат-ионы, ммоль/100 г	Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)	Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)	Органический углерод, %
2021	585	ТТ	0-10	[0]	7.24		24.8	387.921576	0.15	1.4779	1.837212121	0.130057803	0.613636364	0.095133333	0.4686625	0.000220858	0.000811044	24.9	0.1665	0.0305	0.99	2.25126	1.2079
2021	585	ТТ	окт.20	[0]	7.23	8.26	17.4	355.052376	0.16	1.4757	0.770545455	0.086705202	0.613636364	0.097608333	0.4457375	0.000229379	0.000616941	24.8	0.271	0.0305	0.77	1.75098	1.2657
2021	585	ТТ	20-30	[0]	7.28	8.01	20.8	330.707496	0.17	1.5485	0.503878788	0.108381503	0.613636364	0.0995375	0.4949625	0.000538292	0.000759291	24.8	0.2045	0.0305	0.924	2.101176	1.2965
2021	585	ТТ	30-40	[0]	7.33	8.24	9.6	196.507248	0.14	1.6446	0.770545455	0.086705202	0.613636364	0.092045833	0.5411125	0.000211243	0.000220564	24.55	0.2045	0.0305	1.892	4.302408	1.1286
2021	585	ТТ	40-50	[0]	7.41	8.25	9.4	158.973752	0.12	1.7463	0.903878788	0.119219653	0.613636364	0.1130625	0.5810125	0.000239993	0.000275828	24.45	0.16875	0.022875	1.98	4.50252	1.2063
2021	585	ТТ	50-70	[0]	7.47	8.41	8.8	143.694992	0.13	1.5966	0.766181818	0.249277457	0.704545455	0.129316667	0.4465125	0.00025373	0.000152207	24.45	0.2424	0.02745	2.244	5.102856	0.9846
2021	585	ТТ	70-90	[0]	7.5	7.69	9	152.19764	0.12	1.632	1.303878788	0.065028902	0.613636364	0.1637875	0.4317875	0.000302956	0.00018137	24.65	0.211	0.02745	2.244	5.102856	1.02
2021	585	ТТ	90-110	[0]	7.45	8.03	6.2	133.769216	0.11	1.6653	1.170545455	0.130057803	0.613636364	0.2014875	0.3628625	0.000447431	0.000219726	24.45	0.1665	0.02745	2.816	6.403584	0.8973
2021	585	ТТ	110-130	[0]	7.68	8.29	6.8	124.137216	0.06	1.5149	1.570545455	0.086705202	0.613636364	0.246808333	0.3159875	0.000490728	0.000212726	24.65	0.180666667	0.0305	2.684	6.103416	0.7829
2021	585	ТТ	130-150	[0]	7.97	8.6	6.8	115.959648	0.04	1.2139	2.103878788	0.065028902	0.613636364	0.243983333	0.2267375	0.000418255	0.000178289	24.3	0.136333333	0.0274	2.618	5.953332	0.4999
2021	585	ТТ	150-170	[0]	8.01	8.75	8	112.819616	0.04	1.1534	1.570545455	0.043352601	0.613636364	0.2574125	0.19764	0.000643874	0.000210776	24.6	0.136333333	0.0274	2.442	5.553108	0.4874
2021	585	ТТ	170-190	[0]	7.95	8.73	9	107.762816	0.05	1.0799	1.303878788	0.086705202	0.613636364	0.233108333	0.2123975	0.000705134	0.000258941	24.7	0.1125	0.03045	3.916	8.904984	0.0119
2021	585	ТТ	0-10	[1]	6.87	8.03	16	319.582536	0.14	1.3374	1.570545455	0.238439306	0.613636364	0.104395833	0.5815375	0.000302933	0.000757614	24.95	0.2424	0.02745	1.32	3.00168	0.9774
2021	585	ТТ	окт.20	[1]	6.96	8.16	12.2	231.218568	0.14	1.4004	1.437212121	0.173410405	0.613636364	0.090220833	0.4502375	0.000191349	0.000305507	24.95	0.211	0.02745	1.386	3.151764	1.0224
2021	585	ТТ	20-30	[1]	7.07	7.95	11.4	177.594816	0.13	1.571	1.303878788	0.130057803	0.613636364	0.091095833	0.4499125	0.000141186	0.000178562	24.95	0.1665	0.0305	2.772	6.303528	0.815
2021	585	ТТ	0-10	[2]			27.4	409.400936	0.16	1.4592	1.678787879	0.119219653	1.136363636	0.102089583	0.5099375	0.000181326	0.00082837		0.542	0.028975	1.397	3.176778	1.0782
2021	585	ТТ	окт.20	[2]	7.12	7.96	7.8	267.064056	0.14	1.5442	1.318	0.108381503	0.319444444	0.09294375	0.4615625	0.000140013	0.000350366	24.95	0.136333333	0.025925	1.782	4.052268	1.0582
2021	585	ТТ	20-30	[2]	7.14	8	9.6	244.452936	0.15	1.5223	1.453333333	0.065028902	0.277777778	0.101466667	0.4818625	0.000162104	0.000323525	24.9	0.136333333	0.02745	2.288	5.202912	0.8983
2021	585	ТТ	0-10	[3]	7.2	7.94	21.2	402.634456	0.15	1.5589	1.324	0.065028902	0.194444444	0.090520833	0.4203625	0.000137851	0.000672692	24.95	0.05625	0.02745	1.32	3.00168	1.1989
2021	585	ТТ	окт.20	[3]	7.16	7.92	17.4	376.892936	0.16	1.5628	1.454666667	0.086705202	0.25	0.082704167	0.3380625	0.000116277	0.000571662	24.95	0.0606	0.0244	1.408	3.201792	1.1788
2021	585	ТТ	20-30	[3]	7.11	7.97	11.8	340.098696	0.15	1.5046	1.718666667	0.108381503	0.305555556	0.092025	0.3489625	0.000150351	0.000556706	24.85	0.140666667	0.0244	1.386	3.151764	1.1266
2021	585	ТТ	0-10	[4]	7.24		19.6	383.635336	0.16	1.5519	1.585333333	0.130057803	0.305555556	0.104766667	0.4932375	0.000276656	0.000727389	24.95	0.111	0.03355	1.298	2.951652	1.1979
2021	585	ТТ	окт.20	[4]	7.17	8.02	12.2	328.203176	0.15	1.561	1.721333333	0.303468208	0.25	0.08325	0.3945125	0.000129502	0.000398444	24.85	0.180666667	0.02745	1.474	3.351876	1.159
2021	585	ТТ	20-30	[4]	7.3	7.97	9.4	223.238456	0.15	1.6093	1.586666667	0.130057803	0.277777778	0.107025	0.5308875	0.000190429	0.000244199	24.9	0.136333333	0.0305	1.914	4.352436	1.0873
2021	586	ПП	0-10	[0]	7.18	7.83	28.2	688.801176	0.2	1.9424	1.050666667	0.216763006	0.333333333	0.100708333	0.4110125	0.0002047	0.001694453	24.95	0.136333333	0.0305	1.804	4.102296	1.4504
2021	586	ПП	окт.20	[0]	7.16	8.34	14.6	598.958696	0.13	1.3536	1.554666667	0.4095	0.944444444	0.101783333	0.23137	0.000190187	0.001050017	24.87	0.3375	0.0122	1.518	3.451932	0.9396
2021	586	ПП	20-30	[0]	7.2	8.19	19.8	600.909176	0.14	1.4224	1.573333333	0.182	0.555555556	0.106379167	0.2496325	0.000131215	0.000883643	24.9	0.1818	0.01525	1.54	3.50196	1.0024
2021	586	ПП	30-40	[0]	7.28	8.29	13.6	451.540936	0.13	1.2882	1.686666667	0.1365	0.972222222	0.100241667	0.221295	0.000108859	0.000664716	24.9	0.351666667	0.01525	1.43	3.25182	0.8982
2021	586	ПП	40-50	[0]		8.05	13.2	388.379096	0.13	1.1902	1.488	0.364	2.333333333	0.1169625	0.266195	0.000132388	0.000639873	24.9	0.666	0.0122	1.254	2.851596	0.8482
2021	586	ПП	50-70	[0]	7.19	8.17	14.4	323.892856	0.15	1.4522	1.541333333	0.2275	1.222222222	0.132091667	0.2598075	0.000122199	0.000260237	24.9	0.542	0.0122	1.254	2.851596	1.1102
2021	586	ПП	70-90	[0]	7.08	8.43	12.6	357.412216	0.16	1.4825	1.546666667	0.4095	1.111111111	0.14495625	0.286095	0.000155802	0.000239021	24.95	0.409	0.00915	0.968	2.201232	1.2185
2021	586	ПП	90-110	[0]	7.22	7.99	10.6	334.006456	0.16	1.7029	1.713333333	0.1365	0.416666667	0.1423375	0.2997575	0.00016683	0.000341816	24.9	0.136333333	0.00915	1.914	4.352436	1.1809
2021	586	ПП	110-130	[0]	7.32	8.37	9.8	288.302616	0.13	1.5112	1.581333333	0.182	0.388888889	0.131575	0.303595	0.000141726	0.000230968	24.85	0.1125	0.0122	2.662	6.053388	0.7852
2021	586	ПП	130-150	[0]	7.32	8.43	8.2	214.930856	0.1	1.5331	1.908	0.182	1.916666667	0.1383125	0.2661825	0.00021635	0.000170489	24.9	0.606	0.01525	3.41	7.75434	0.6031
2021	586	ПП	150-170	[0]	7.36	8.34	7.6	227.348912	0.07	1.6106	1.964	0.182	0.75	0.136770833	0.2797075	0.000175053	0.000175861	24.85	0.281333333	0.01525	3.498	7.954452	0.6566
2021	586	ПП	170-190	[0]	7.34	7.9	7.4	203.651784	0.07	1.5715	1.973333333	0.273	0.555555556	0.146060417	0.251345	0.000214544	0.00016772	24.95	0.1665	0.0122	4.576	10.405824	0.3235
2021	586	ПП	0-10	[1]	7.25	7.99	19.2	560.960456	0.15	1.465	2.632	0.364	0.722222222	0.0947125	0.2263075	0.000184655	0.000980743	24.9	0.361333333	0.01525	1.298	2.951652	1.111
2021	586	ПП	окт.20	[1]	7.12	7.91	16.4	573.554296	0.15	1.4825	1.041333333	0.2275	0.527777778	0.132029167	0.23157	0.00015548	0.001041451	24.87	0.1818	0.0122	1.54	3.50196	0.9441
2021	586	ПП	20-30	[1]	7.26	8.21	16.4	512.776376	0.13	1.3316	1.172	0.273	0.583333333	0.094754167	0.2251575	8.16E-05	0.000815363	24.9	0.2045	0.0122	1.342	3.051708	0.9656
2021	586	ПП	0-10	[2]	7.09	8.02	24.6	762.413736	0.19	1.9102	0.981333333	0.091	1.777777778	0.107620833	0.2474075	0.000156113	0.001517773	 	0.45	0.01525	1.496	3.401904	1.5022
2021	586	ПП	окт.20	[2]	7.2	8.28	16.2	549.642856	0.14	1.3641	1.309333333	0.4095	0.5	0.132029167	0.23157	0.00015548	0.001041451	24.87	0.1818	0.0122	1.54	3.50196	0.9441
2021	586	ПП	20-30	[2]	7.22	8	14	456.019816	0.13	1.2467	1.048	0.2275	0.388888889	0.134075	0.2844575	4.60E-05	0.000763191		0.140666667	0.01525	1.43	3.25182	0.8567
2021	586	ПП	0-10	[3]	7.2	8.02	35.2	780.738616	0.2	2.0082	1.582666667	0.3185	0.361111111	0.094858333	0.2113325	0.000123119	0.001442405	24.985	0.111	0.01525	1.386	3.151764	1.6302
2021	586	ПП	окт.20	[3]	7.19	8.31	17.4	568.015896	0.15	1.3836	1.304	0.2275	0.611111111	0.134970833	0.2156575	5.03E-05	0.001021595	24.9	0.271	0.01525	1.474	3.351876	0.9816
2021	586	ПП	20-30	[3]	7.19	8.17	17.4	517.086696	0.14	1.4229	1.048	0.2275	0.388888889	0.090329167	0.211745	0.000114114	0.000874897	24.85	0.136333333	0.0122	1.518	3.451932	1.0089
2021	586	ПП	0-10	[4]	7.04	7.78	23	761.402376	0.23	2.1606	1.296666667	0.25025	0.763888889	0.116352083	0.23001375	0.000140536	0.001329257	24.9	0.272666667	0.0183	1.485	3.37689	1.7556
