повторность,Объемный вес,GPS №
4,1.0793805974057715,526
3,1.0457219671444284,526
1,1.0760287006162603,526
2,1.022188858434734,526
4,0.991602800230443,525
3,1.0510291370611546,525
1,0.9860163055812573,525
2,0.9675808732389449,525
3,1.0918803791833245,527
2,1.16729805694733,527
1,1.143625285871406,527
4,1.145091740716817,527
3,0.8746355685131196,528
1,0.9995635551055324,528
4,1.0582217489219812,528
2,0.9947452034706098,528
1,0.8464237705347323,586
2,0.863672072764093,586
3,0.8559906426214627,586
4,0.8864370384595242,586
