date,mean_temperature,sum_percepetation,snow
13.07.2021,29.512500000000003,0.0,0.0
13.08.2021,29.7,0.0,0.0
13.09.2021,18.462500000000002,0.0,0.0
13.10.2021,14.549999999999999,0.1,0.0
13.11.2020,-0.38749999999999984,0.0,0.0
13.12.2020,2.85,0.7999999999999999,0.0
14.01.2021,4.575,0.9,0.0
14.02.2021,-0.7,0.2,0.125
14.03.2021,0.6249999999999998,0.0,0.0125
14.04.2021,11.6625,0.1,0.0
14.05.2021,21.387499999999996,0.0,0.0
14.06.2021,21.349999999999998,0.3,0.0
14.07.2021,27.724999999999998,0.0,0.0
14.08.2021,26.499999999999996,1.0,0.0
14.09.2021,20.9875,0.0,0.0
14.10.2021,15.362499999999999,0.0,0.0
14.11.2020,0.30000000000000016,0.0,0.0
14.12.2020,3.0125,0.6,0.0
15.01.2021,1.3375,0.9,0.0
15.02.2021,-3.9499999999999997,0.3,0.0125
15.03.2021,2.9125,0.0,0.0
15.04.2021,12.8625,0.0,0.0
15.05.2021,23.025,0.0,0.0
15.06.2021,23.975,0.0,0.0
15.07.2021,28.087500000000006,0.0,0.0
15.08.2021,24.249999999999996,0.4,0.0
15.09.2021,22.45,0.0,0.0
15.10.2020,16.8875,0.0,0.0
15.10.2021,13.3375,0.0,0.0
15.11.2020,1.0,0.0,0.0
15.12.2020,4.2,1.2,0.0
16.01.2021,1.0375000000000003,0.0,0.0
16.02.2021,-7.000000000000001,4.2,0.125
16.03.2021,3.7625,3.0,0.0
16.04.2021,15.287500000000003,0.0,0.0
16.05.2021,23.675,0.0,0.0
16.06.2021,25.775,0.0,0.0
16.07.2021,29.725000000000005,0.0,0.0
16.08.2021,24.6125,0.0,0.0
16.09.2021,21.025000000000002,0.0,0.0
16.10.2020,16.8375,0.0,0.0
16.11.2020,1.2874999999999999,1.0,0.0
16.12.2020,3.2625,3.6,0.0
17.01.2021,-1.4375,0.5,0.0
17.02.2021,-10.1125,10.0,0.125
17.03.2021,6.0375,1.0,0.0
17.04.2021,13.3125,0.0,0.0
17.05.2021,24.125,0.0,0.0
17.06.2021,23.737499999999997,0.0,0.0
17.07.2021,30.5,0.0,0.0
17.08.2021,25.8375,0.0,0.0
17.09.2021,15.425,0.0,0.0
17.10.2020,16.8625,0.0,0.0
17.11.2020,2.225,10.0,0.0
17.12.2020,0.33749999999999997,0.0,0.0
18.01.2021,-3.8125,1.2,0.25
18.02.2021,-13.3375,0.6,1.75
18.03.2021,5.187500000000001,2.4,0.0
18.04.2021,12.000000000000002,4.3,0.0
18.05.2021,20.175,6.0,0.0
18.06.2021,22.85,0.1,0.0
18.07.2021,29.724999999999998,0.0,0.0
18.08.2021,28.3,0.0,0.0
18.09.2021,18.071428571428573,0.0,0.0
18.10.2020,14.5125,0.0,0.0
18.11.2020,0.6625000000000001,13.0,0.0
18.12.2020,0.7875000000000001,0.6000000000000001,0.0125
19.01.2021,-6.2375,3.0,0.625
19.02.2021,-10.5125,0.0,1.5
19.03.2021,6.275,2.0,0.0
19.04.2021,14.575000000000001,0.8,0.0
19.05.2021,18.787499999999998,0.0,0.0
19.06.2021,25.787499999999998,0.0,0.0
19.07.2021,30.4625,0.0,0.0
19.08.2021,26.787499999999998,0.0,0.0
19.09.2021,18.5,0.0,0.0
19.10.2020,14.8875,0.0,0.0
19.11.2020,0.6000000000000001,0.9,0.125
19.12.2020,0.16250000000000003,0.0,0.0
20.01.2021,-8.7875,0.9,0.5
20.02.2021,-10.2125,0.0,1.5
20.03.2021,5.8125,0.3,0.0
20.04.2021,17.7125,0.0,0.0
20.05.2021,19.9625,0.0,0.0
20.06.2021,26.937499999999996,0.0,0.0
20.07.2021,31.95,0.0,0.0
20.08.2021,24.2375,2.0,0.0
20.09.2021,19.837500000000002,0.0,0.0
20.10.2020,13.374999999999998,4.0,0.0
20.11.2020,2.5375,0.0,0.0
20.12.2020,1.075,0.0,0.0
21.01.2021,-9.562499999999998,0.2,0.5
21.02.2021,-10.100000000000001,0.0,1.5
21.03.2021,4.3625,2.0,0.0
21.04.2021,13.9125,0.0,0.0
21.05.2021,23.85,0.0,0.0
21.06.2021,27.200000000000003,0.0,0.0
21.07.2021,33.225,0.0,0.0
21.08.2021,25.124999999999996,0.0,0.0
21.09.2021,19.6375,18.0,0.0
21.10.2020,11.187499999999998,0.0,0.0
21.11.2020,2.0875,7.0,0.0
21.12.2020,0.07500000000000004,0.4,0.0
22.01.2021,-6.0875,0.0,0.5
22.02.2021,0.5875,0.1,1.0
22.03.2021,4.9,2.0,0.0
