2020_10_15_NDVI,2020_10_31_NDVI,2020_11_16_NDVI,2020_12_02_NDVI,2020_12_18_NDVI,2021_01_01_NDVI,2021_01_17_NDVI,2021_02_02_NDVI,2021_02_18_NDVI,2021_03_06_NDVI,2021_03_22_NDVI,2021_04_07_NDVI,2021_04_23_NDVI,2021_05_09_NDVI,2021_05_25_NDVI,2021_06_10_NDVI,2021_06_26_NDVI,2021_07_12_NDVI,2021_07_28_NDVI,2021_08_13_NDVI,2021_08_29_NDVI,2021_09_14_NDVI,2021_09_30_NDVI,system:index,type
1929.0,1869.0,2743.0,229.0,264.0,2864.0,2393.0,2166.0,2317.0,2399.0,2796.0,3586.0,7464.0,7863.0,7532.0,3555.0,2789.0,2220.0,2234.0,2454.0,2441.0,2561.0,4505.0,0,PP
2051.0,1998.0,2306.0,718.0,284.0,2603.0,2445.0,1652.0,-158.0,2017.0,2188.0,2225.0,2451.0,3518.0,7435.0,6906.0,4584.0,2670.0,1972.0,1988.0,1883.0,1758.0,2316.0,1,TT
