,type,Dates,NDVI
0,PP,2019_05_25,0.8416
1,TT,2019_05_25,0.7402000000000001
2,PP,2019_06_10,0.4646
3,TT,2019_06_10,0.529
4,PP,2019_06_26,0.2412
5,TT,2019_06_26,0.2899
6,PP,2019_07_12,0.234
7,TT,2019_07_12,0.182
8,PP,2019_07_28,0.2318
9,TT,2019_07_28,0.1953
10,PP,2019_08_13,0.2253
11,TT,2019_08_13,0.19820000000000002
